messier,ngc,constellation,type_code,object_type,category,ra_h,ra_m,ra_decimal,dec_d,dec_m,dec_decimal,magnitude,size,distance_kly,size_arcmin
M110,110,205,And,Unknown,기타,6.0,0.0,6.0,40.4,41.0,41.0833,41.0,8.5,,8.5
M31,031,224,And,Unknown,기타,5.0,0.0,5.0,42.7,41.0,43.3833,16.0,3.4,,3.4
M32,032,221,And,Unknown,기타,6.0,0.0,6.0,42.7,40.0,43.3667,52.0,8.1,,8.1
M103,103,581,Cas,Unknown,기타,1.0,1.0,1.0167,33.2,60.0,34.2,42.0,7.4,6.0,7.4
M33,033,598,Tri,Unknown,기타,5.0,1.0,5.0167,33.9,30.0,34.4,39.0,5.7,,5.7
M74,074,628,Psc,Unknown,기타,5.0,1.0,5.0167,36.7,15.0,36.95,47.0,9.4,,9.4
M76,076,650,Per,Unknown,기타,3.0,1.0,3.0167,42.4,51.0,43.25,34.0,10.1,,10.1
M34,034,1039,Per,Unknown,기타,1.0,2.0,1.0333,42.0,42.0,42.7,47.0,5.5,35.0,5.5
M77,077,1068,Cet,Unknown,기타,5.0,2.0,5.0333,42.7,-0.0,42.7,1.0,8.9,,8.9
M45,045,0000,Tau,Unknown,기타,1.0,3.0,1.05,47.0,24.0,47.4,7.0,1.6,110.0,1.6
M79,079,1904,Lep,Unknown,기타,2.0,5.0,2.0833,24.2,-24.0,23.8,31.0,7.7,8.7,7.7
M38,038,1912,Aur,Unknown,기타,1.0,5.0,1.0833,28.4,35.0,28.9833,50.0,7.4,21.0,7.4
M1,001,1952,Tau,Unknown,기타,9.0,5.0,9.0833,34.5,22.0,34.8667,1.0,8.4,,8.4
M42,042,1976,Ori,Unknown,기타,4.0,5.0,4.0833,35.4,-5.0,35.3167,27.0,4.0,,4.0
M43,043,1982,Ori,Unknown,기타,4.0,5.0,4.0833,35.6,-5.0,35.5167,16.0,9.0,,9.0
M36,036,1960,Aur,Unknown,기타,1.0,5.0,1.0833,36.1,34.0,36.6667,8.0,6.3,12.0,6.3
M78,078,2068,Ori,Unknown,기타,4.0,5.0,4.0833,46.7,0.0,46.7,3.0,8.3,,8.3
M37,037,2099,Aur,Unknown,기타,1.0,5.0,1.0833,52.4,32.0,52.9333,33.0,6.2,24.0,6.2
M35,035,2168,Gem,Unknown,기타,1.0,6.0,1.1,8.9,24.0,9.3,20.0,5.3,28.0,5.3
M41,041,2287,CMa,Unknown,기타,1.0,6.0,1.1,46.0,-20.0,45.6667,44.0,4.6,38.0,4.6
