messier,ngc,common_name,object_type,distance,constellation,magnitude,ra,dec
M1[17],NGC 1952,Crab Nebula,,Super­nova remnant,4.9–8.1,Taurus,8.4,420″ × 290″
M2[18],NGC 7089,—,,Globular cluster,33,Aquarius,6.5,16′
M3[19],NGC 5272,—,,Globular cluster,33.9,Canes Venatici,6.2,18′
M4[20],NGC 6121,Spider Globular Cluster,,Globular cluster,7.2,Scorpius,5.6,26′
M5[21],NGC 5904,Rose Cluster,,Globular cluster,24.5,Serpens,5.6,23′
M6[22],NGC 6405,Butterfly Cluster,,Open cluster,1.6,Scorpius,4.2,25′
M7[23],NGC 6475,Ptolemy's Cluster,,Open cluster,0.65–1.31,Scorpius,3.3,80′
M8[24],NGC 6523,Lagoon Nebula,,Nebulawith cluster,4.1,Sagittarius,4.6,90′ × 40′
M9[25],NGC 6333,—,,Globular cluster,25.8,Ophiuchus,7.7,9.3′
M10[26],NGC 6254,—,,Globular cluster,14.3,Ophiuchus,6.6,20′
M11[27],NGC 6705,Wild Duck Cluster,,Open cluster,6.2,Scutum,5.8,22.8′
M12[28],NGC 6218,—,,Globular cluster,15.7,Ophiuchus,6.7,16′
M13[29],NGC 6205,Great Hercules Cluster,,Globular cluster,22.2,Hercules,5.8,20′
M14[30],NGC 6402,—,,Globular cluster,30.3,Ophiuchus,7.6,11′
M15[31],NGC 7078,Great Pegasus Cluster,,Globular cluster,33,Pegasus,6.2,18′
M16[32],NGC 6611,Eagle Nebula,,H II regionnebula with cluster,7,Serpens,6.4,70′ × 50′
M17[33],NGC 6618,"Omega,Swan,Horseshoe,Lobster, orCheckmark Nebula",,H II regionnebula with cluster,5–6,Sagittarius,6.0,11′
M18[34],NGC 6613,Black Swan Cluster,,Open cluster,4.9,Sagittarius,7.5,9.8′
M19[35],NGC 6273,—,,Globular cluster,28.7,Ophiuchus,6.8,17′
M20[36],NGC 6514,Trifid Nebula,,H II regionnebula with cluster,5.2,Sagittarius,6.3,28′
M21[37],NGC 6531,Webb's Cross Cluster,,Open cluster,4.25,Sagittarius,6.5,14′
M22[38],NGC 6656,Great Sagittarius Cluster,,Globular cluster,9.6–11.6,Sagittarius,5.1,32′
M23[39],NGC 6494,—,,Open cluster,2.15,Sagittarius,5.5,35′
M24[40],IC 4715,Small Sagittarius Star Cloud,,Milky Waystar cloud,~10,Sagittarius,2.5,2°x1°
M25[41],IC 4725,—,,Open cluster,2.0,Sagittarius,4.6,36′
M26[42],NGC 6694,—,,Open cluster,5.0,Scutum,8.0,14′
M27[43],NGC 6853,Dumbbell Nebula,,Planetary nebula,1.148–1.52,Vulpecula,7.4,8.0′ × 5.6′
M28[44],NGC 6626,—,,Globular cluster,17.9,Sagittarius,6.8,11.2′
M29[45],NGC 6913,Cooling Tower Cluster,,Open cluster,7.2,Cygnus,7.1,7′
M30[46],NGC 7099,Jellyfish Cluster,,Globular cluster,27.8–31,Capricornus,7.2,12′
M31[47],NGC 224,Andromeda Galaxy,,Spiral galaxy,"2,430–2,650",Andromeda,3.4,3.17° × 1°
M32[48],NGC 221,Andromeda Satellite #1,,Dwarf elliptical galaxy,"2,410–2,570",Andromeda,8.1,8.7′ × 6.5′
M33[49],NGC 598,Triangulum/Pinwheel Galaxy,,Spiral galaxy,"2,380–3,070",Triangulum,5.7,70.8′ × 41.7′
M34[50],NGC 1039,Spiral Cluster,,Open cluster,1.5,Perseus,5.5,35′
M35[51],NGC 2168,Shoe-Buckle Cluster,,Open cluster,2.8,Gemini,5.3,28′
M36[52],NGC 1960,Pinwheel Cluster,,Open cluster,4.1,Auriga,6.3,12′
M37[53],NGC 2099,Salt and Pepper Cluster,,Open cluster,4.511,Auriga,6.2,24′
M38[54],NGC 1912,Starfish Cluster,,Open cluster,4.2,Auriga,7.4,21′
M39[55],NGC 7092,Pyramid Cluster,,Open cluster,0.8244,Cygnus,4.6,29′
M40[56],—,Winnecke 4,,Optical Double,0.51,Ursa Major,8.4,51.7″
M41[57],NGC 2287,Little Beehive Cluster,,Open cluster,2.3,Canis Major,4.5,38′
M42[58],NGC 1976,Great Orion Nebula,,H II regionnebula,1.324–1.364,Orion,4.0,65′ × 60′
M43[59],NGC 1982,De Mairan's Nebula,,H II regionnebula (part of the Orion Nebula),1.6,Orion,9.0,20′ × 15′
M44[60],NGC 2632,Beehive ClusterorPraesepe,,Open cluster,0.577,Cancer,3.7,95′
M45[61],—,"Pleiades,Seven SistersorSubaru",,Open cluster,0.39–0.46,Taurus,1.6,2°
M46[62],NGC 2437,—,,Open cluster,5.4,Puppis,6.0,22.8′
M47[63],NGC 2422,—,,Open cluster,1.6,Puppis,4.4,30′
M48[64],NGC 2548,—,,Open cluster,1.5,Hydra,5.5,30′
M49[65],NGC 4472,—,,Elliptical galaxy,"53,600–58,200",Virgo,8.4,10.2′ × 8.3′
M50[66],NGC 2323,Heart-Shaped Cluster,,Open cluster,3.2,Monoceros,5.9,16′
M51[67],"NGC 5194,NGC 5195",Whirlpool Galaxy,,Spiral galaxy,"19,000–27,000",Canes Venatici,8.4,11.2′ × 6.9′
M52[68],NGC 7654,Scorpion Cluster,,Open cluster,5.0,Cassiopeia,7.3,13′
